[01/09 20:04:23]    DEBUG | Initial log file: logs/dr_dobrev.log (log.py:100)
[01/09 20:04:27]    DEBUG | Config used: {'username': 'dr_dobrev', 'device': 21503, 'app-id': 'com.instagram.android', 'use-cloned-app': False, 'allow-untested-ig-version': False, 'screen-sleep': True, 'screen-record': False, 'speed-multiplier': 1, 'debug': False, 'close-apps': False, 'disable-block-detection': False, 'disable-filters': False, 'dont-type': False, 'total-crashes-limit': 5, 'count-app-crashes': False, 'shuffle-jobs': True, 'truncate-sources': '2-5', 'blogger-followers': ['username1', 'username2'], 'blogger-following': ['username1', 'username2'], 'blogger-post-likers': ['username1', 'username2'], 'blogger': ['username1', 'username2'], 'hashtag-likers-top': ['hashtag1', 'hashtag2'], 'hashtag-likers-recent': ['hashtag1', 'hashtag2'], 'hashtag-posts-top': ['hashtag1', 'hashtag2'], 'hashtag-posts-recent': ['hashtag1', 'hashtag2'], 'place-posts-top': ['place1', 'place2'], 'place-posts-recent': ['place1', 'place2'], 'place-likers-top': ['place1', 'place2'], 'place-likers-recent': ['place1', 'place2'], 'interact-from-file': ['usernames1.txt 10-15', 'usernames2.txt 3'], 'posts-from-file': 'posts.txt', 'feed': '2-5', 'watch-video-time': '15-35', 'watch-photo-time': '3-4', 'delete-interacted-users': True, 'unfollow': '10-20', 'unfollow-any': '10-20', 'unfollow-non-followers': '10-20', 'unfollow-any-non-followers': '10-20', 'unfollow-any-followers': '10-20', 'unfollow-from-file': ['usernames1.txt 7-15', 'usernames2.txt 6'], 'sort-followers-newest-to-oldest': False, 'unfollow-delay': 15, 'remove-followers-from-file': ['remove1.txt 5-10', 'remove2.txt 6'], 'delete-removed-followers': True, 'telegram-reports': False, 'interactions-count': '30-40', 'likes-count': '1-2', 'likes-percentage': 100, 'stories-count': '1-2', 'stories-percentage': '30-40', 'carousel-count': '2-3', 'carousel-percentage': '60-70', 'max-comments-pro-user': '1-2', 'interact-percentage': '30-40', 'follow-percentage': '30-40', 'follow-limit': 50, 'skipped-list-limit': '10-15', 'skipped-posts-limit': 5, 'fling-when-skipped': 0, 'min-following': 100, 'total-likes-limit': '120-150', 'total-follows-limit': '40-50', 'total-unfollows-limit': '40-50', 'total-watches-limit': '120-150', 'total-successful-interactions-limit': '120-150', 'total-interactions-limit': '280-300', 'total-comments-limit': '3-5', 'total-pm-limit': '3-5', 'total-scraped-limit': '100-150', 'end-if-likes-limit-reached': True, 'end-if-follows-limit-reached': False, 'end-if-watches-limit-reached': False, 'end-if-comments-limit-reached': False, 'end-if-pm-limit-reached': False, 'working-hours': ['10.15-16.40', '18.15-22.46'], 'time-delta': '10-15', 'repeat': '280-320', 'total-sessions': 1} (config.py:160)
[01/09 20:04:27]    DEBUG | Connected devices via adb: 2. That's ok. (utils.py:169)
[01/09 20:06:25]    DEBUG | Initial log file: logs/dr_dobrev.log (log.py:100)
[01/09 20:06:25]    DEBUG | Installed via pip. (utils.py:141)
[01/09 20:06:25]     INFO | Do you want to update/create your config-examples folder in local? Do the following: 
				pip3 install --user gitdir (only the first time)
				python3 -m gitdir https://github.com/GramAddict/bot/tree/master/config-examples (python on Windows) (utils.py:142)
[01/09 20:06:28]     INFO | Checking for updates... (utils.py:64)
[01/09 20:06:28]     INFO | Bot is updated. (utils.py:78)
[01/09 20:06:28]     INFO | GramAddict v.3.2.7 (utils.py:81)
[01/09 20:06:28]     INFO | Loading plugins . . . (plugin_loader.py:30)
[01/09 20:06:28]     INFO |   - ActionUnfollowFollowers: Handles the functionality of unfollowing your followers (plugin_loader.py:45)
[01/09 20:06:28]     INFO |   - ClonedApp: Adds support for cloned apps (plugin_loader.py:45)
[01/09 20:06:28]     INFO |   - CoreArguments: Simply adds core arguments (plugin_loader.py:45)
[01/09 20:06:28]     INFO |   - DataAnalytics: Generates a PDF analytics report of current username session data (plugin_loader.py:45)
[01/09 20:06:28]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger (plugin_loader.py:45)
[01/09 20:06:28]     INFO |   - InteractBloggerFollowers_Following: Handles the functionality of interacting with a bloggers followers/following (plugin_loader.py:45)
[01/09 20:06:28]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger post likers (plugin_loader.py:45)
[01/09 20:06:28]     INFO |   - InteractOwnFeed: Handles the functionality of interacting with your own feed (plugin_loader.py:45)
[01/09 20:06:28]     INFO |   - InteractHashtagLikers: Handles the functionality of interacting with a hashtags likers (plugin_loader.py:45)
[01/09 20:06:28]     INFO |   - InteractHashtagPosts: Handles the functionality of interacting with a hashtags post owners (plugin_loader.py:45)
[01/09 20:06:28]     INFO |   - InteractPlaceLikers: Handles the functionality of interacting with a places likers (plugin_loader.py:45)
[01/09 20:06:28]     INFO |   - InteractPlacePosts: Handles the functionality of interacting with a places post owners (plugin_loader.py:45)
[01/09 20:06:28]     INFO |   - LikeFromURLs: Likes a post from url. The urls are read from a plaintext file (plugin_loader.py:45)
[01/09 20:06:28]     INFO |   - RemoveFollowersFromList: Remove account followers from a list of usernames (plugin_loader.py:45)
[01/09 20:06:28]  WARNING | If you want to use telegram_reports, please type in console: 'pip3 install gramaddict[telegram-reports]' (telegram.py:18)
[01/09 20:06:28]     INFO |   - TelegramReports: Generate reports at the end of the session and send them using telegram (plugin_loader.py:45)
[01/09 20:06:28]    DEBUG | Arguments used: --config accounts/yourusername/config.yml (config.py:158)
[01/09 20:06:28]    DEBUG | Config used: {'username': 'dr_dobrev', 'device': 'localhost:21503', 'app-id': 'com.instagram.android', 'use-cloned-app': False, 'allow-untested-ig-version': False, 'screen-sleep': True, 'screen-record': False, 'speed-multiplier': 1, 'debug': False, 'close-apps': False, 'disable-block-detection': False, 'disable-filters': False, 'dont-type': False, 'total-crashes-limit': 5, 'count-app-crashes': False, 'shuffle-jobs': True, 'truncate-sources': '2-5', 'blogger-followers': ['username1', 'username2'], 'blogger-following': ['username1', 'username2'], 'blogger-post-likers': ['username1', 'username2'], 'blogger': ['username1', 'username2'], 'hashtag-likers-top': ['hashtag1', 'hashtag2'], 'hashtag-likers-recent': ['hashtag1', 'hashtag2'], 'hashtag-posts-top': ['hashtag1', 'hashtag2'], 'hashtag-posts-recent': ['hashtag1', 'hashtag2'], 'place-posts-top': ['place1', 'place2'], 'place-posts-recent': ['place1', 'place2'], 'place-likers-top': ['place1', 'place2'], 'place-likers-recent': ['place1', 'place2'], 'interact-from-file': ['usernames1.txt 10-15', 'usernames2.txt 3'], 'posts-from-file': 'posts.txt', 'feed': '2-5', 'watch-video-time': '15-35', 'watch-photo-time': '3-4', 'delete-interacted-users': True, 'unfollow': '10-20', 'unfollow-any': '10-20', 'unfollow-non-followers': '10-20', 'unfollow-any-non-followers': '10-20', 'unfollow-any-followers': '10-20', 'unfollow-from-file': ['usernames1.txt 7-15', 'usernames2.txt 6'], 'sort-followers-newest-to-oldest': False, 'unfollow-delay': 15, 'remove-followers-from-file': ['remove1.txt 5-10', 'remove2.txt 6'], 'delete-removed-followers': True, 'telegram-reports': False, 'interactions-count': '30-40', 'likes-count': '1-2', 'likes-percentage': 100, 'stories-count': '1-2', 'stories-percentage': '30-40', 'carousel-count': '2-3', 'carousel-percentage': '60-70', 'max-comments-pro-user': '1-2', 'interact-percentage': '30-40', 'follow-percentage': '30-40', 'follow-limit': 50, 'skipped-list-limit': '10-15', 'skipped-posts-limit': 5, 'fling-when-skipped': 0, 'min-following': 100, 'total-likes-limit': '120-150', 'total-follows-limit': '40-50', 'total-unfollows-limit': '40-50', 'total-watches-limit': '120-150', 'total-successful-interactions-limit': '120-150', 'total-interactions-limit': '280-300', 'total-comments-limit': '3-5', 'total-pm-limit': '3-5', 'total-scraped-limit': '100-150', 'end-if-likes-limit-reached': True, 'end-if-follows-limit-reached': False, 'end-if-watches-limit-reached': False, 'end-if-comments-limit-reached': False, 'end-if-pm-limit-reached': False, 'working-hours': ['10.15-16.40', '18.15-22.46'], 'time-delta': '10-15', 'repeat': '280-320', 'total-sessions': 1} (config.py:160)
[01/09 20:06:28]    DEBUG | Connected devices via adb: 2. That's ok. (utils.py:169)
[01/09 20:06:30]     INFO | Time delta has set to 00:11:05. (utils.py:687)
[01/09 20:06:40]    DEBUG | Phone Name: Redmi Note 10 Pro, SDK Version: 28 (device_facade.py:29)
[01/09 20:06:40]    DEBUG | Screen dimension: 1080x1920 (device_facade.py:34)
[01/09 20:06:40]    DEBUG | Screen resolution: 480x853 (device_facade.py:37)
[01/09 20:06:40]    DEBUG | Device ID: localhost:21503 (device_facade.py:40)
[01/09 20:06:40]     INFO | Screen timeout is fine! (utils.py:224)
[01/09 20:06:40]     INFO | -------- START: 20:06:40 - 2024/01/09 -------- (bot_flow.py:129)
[01/09 20:06:40]     INFO | Device screen ON and unlocked. (bot_flow.py:146)
[01/09 20:06:40]     INFO | Open Instagram app. (utils.py:233)
[01/09 20:06:41]    DEBUG | Instagram called successfully. (utils.py:246)
[01/09 20:06:42]     INFO | Waiting for Instagram to open... 😴 (1/3) (utils.py:257)
[01/09 20:06:46]    DEBUG | 3.0s sleep (utils.py:436)
[01/09 20:06:49]     INFO | Ready for botting!🤫 (utils.py:264)
[01/09 20:06:49]    DEBUG | 1.52s sleep (utils.py:436)
[01/09 20:06:50]    DEBUG | Setting FastInputIME as default keyboard. (utils.py:271)
[01/09 20:06:50]     INFO | FastInputIME is the default keyboard. (utils.py:290)
[01/09 20:06:51]     INFO | Instagram version: 312.1.0.34.111 (bot_flow.py:150)
[01/09 20:06:51]  WARNING | You have a newer version of IG then the one tested! (Tested version: 226.1.0.16.117). (bot_flow.py:154)
[01/09 20:06:51]  WARNING | Using an untested version of IG would cause unexpected behavior because some elements in the user interface may have been changed. Any crashes that occur with an untested version are not taken into account. (bot_flow.py:158)
[01/09 20:06:51]  WARNING | If you press ENTER, you are aware of this and will not ask for support in case of a crash. (bot_flow.py:162)
[01/09 20:11:11]    DEBUG | Initial log file: logs/dr_dobrev.log (log.py:100)
[01/09 20:11:11]    DEBUG | Installed via pip. (utils.py:141)
[01/09 20:11:11]     INFO | Do you want to update/create your config-examples folder in local? Do the following: 
				pip3 install --user gitdir (only the first time)
				python3 -m gitdir https://github.com/GramAddict/bot/tree/master/config-examples (python on Windows) (utils.py:142)
[01/09 20:11:14]     INFO | Checking for updates... (utils.py:64)
[01/09 20:11:14]     INFO | Bot is updated. (utils.py:78)
[01/09 20:11:14]     INFO | GramAddict v.3.2.7 (utils.py:81)
[01/09 20:11:14]     INFO | Loading plugins . . . (plugin_loader.py:30)
[01/09 20:11:14]     INFO |   - ActionUnfollowFollowers: Handles the functionality of unfollowing your followers (plugin_loader.py:45)
[01/09 20:11:14]     INFO |   - ClonedApp: Adds support for cloned apps (plugin_loader.py:45)
[01/09 20:11:14]     INFO |   - CoreArguments: Simply adds core arguments (plugin_loader.py:45)
[01/09 20:11:14]     INFO |   - DataAnalytics: Generates a PDF analytics report of current username session data (plugin_loader.py:45)
[01/09 20:11:14]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger (plugin_loader.py:45)
[01/09 20:11:14]     INFO |   - InteractBloggerFollowers_Following: Handles the functionality of interacting with a bloggers followers/following (plugin_loader.py:45)
[01/09 20:11:14]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger post likers (plugin_loader.py:45)
[01/09 20:11:14]     INFO |   - InteractOwnFeed: Handles the functionality of interacting with your own feed (plugin_loader.py:45)
[01/09 20:11:14]     INFO |   - InteractHashtagLikers: Handles the functionality of interacting with a hashtags likers (plugin_loader.py:45)
[01/09 20:11:14]     INFO |   - InteractHashtagPosts: Handles the functionality of interacting with a hashtags post owners (plugin_loader.py:45)
[01/09 20:11:14]     INFO |   - InteractPlaceLikers: Handles the functionality of interacting with a places likers (plugin_loader.py:45)
[01/09 20:11:14]     INFO |   - InteractPlacePosts: Handles the functionality of interacting with a places post owners (plugin_loader.py:45)
[01/09 20:11:14]     INFO |   - LikeFromURLs: Likes a post from url. The urls are read from a plaintext file (plugin_loader.py:45)
[01/09 20:11:14]     INFO |   - RemoveFollowersFromList: Remove account followers from a list of usernames (plugin_loader.py:45)
[01/09 20:11:14]  WARNING | If you want to use telegram_reports, please type in console: 'pip3 install gramaddict[telegram-reports]' (telegram.py:18)
[01/09 20:11:14]     INFO |   - TelegramReports: Generate reports at the end of the session and send them using telegram (plugin_loader.py:45)
[01/09 20:11:14]    DEBUG | Arguments used: --config accounts/yourusername/config.yml (config.py:158)
[01/09 20:11:14]    DEBUG | Config used: {'username': 'dr_dobrev', 'device': 'localhost:21503', 'app-id': 'com.instagram.android', 'use-cloned-app': False, 'allow-untested-ig-version': False, 'screen-sleep': True, 'screen-record': False, 'speed-multiplier': 1, 'debug': False, 'close-apps': False, 'disable-block-detection': False, 'disable-filters': False, 'dont-type': False, 'total-crashes-limit': 5, 'count-app-crashes': False, 'shuffle-jobs': True, 'truncate-sources': '2-5', 'blogger-followers': ['username1', 'username2'], 'blogger-following': ['username1', 'username2'], 'blogger-post-likers': ['username1', 'username2'], 'blogger': ['username1', 'username2'], 'hashtag-likers-top': ['hashtag1', 'hashtag2'], 'hashtag-likers-recent': ['hashtag1', 'hashtag2'], 'hashtag-posts-top': ['hashtag1', 'hashtag2'], 'hashtag-posts-recent': ['hashtag1', 'hashtag2'], 'place-posts-top': ['place1', 'place2'], 'place-posts-recent': ['place1', 'place2'], 'place-likers-top': ['place1', 'place2'], 'place-likers-recent': ['place1', 'place2'], 'interact-from-file': ['usernames1.txt 10-15', 'usernames2.txt 3'], 'posts-from-file': 'posts.txt', 'feed': '2-5', 'watch-video-time': '15-35', 'watch-photo-time': '3-4', 'delete-interacted-users': True, 'unfollow': '10-20', 'unfollow-any': '10-20', 'unfollow-non-followers': '10-20', 'unfollow-any-non-followers': '10-20', 'unfollow-any-followers': '10-20', 'unfollow-from-file': ['usernames1.txt 7-15', 'usernames2.txt 6'], 'sort-followers-newest-to-oldest': False, 'unfollow-delay': 15, 'remove-followers-from-file': ['remove1.txt 5-10', 'remove2.txt 6'], 'delete-removed-followers': True, 'telegram-reports': False, 'interactions-count': '30-40', 'likes-count': '1-2', 'likes-percentage': 100, 'stories-count': '1-2', 'stories-percentage': '30-40', 'carousel-count': '2-3', 'carousel-percentage': '60-70', 'max-comments-pro-user': '1-2', 'interact-percentage': '30-40', 'follow-percentage': '30-40', 'follow-limit': 50, 'skipped-list-limit': '10-15', 'skipped-posts-limit': 5, 'fling-when-skipped': 0, 'min-following': 100, 'total-likes-limit': '120-150', 'total-follows-limit': '40-50', 'total-unfollows-limit': '40-50', 'total-watches-limit': '120-150', 'total-successful-interactions-limit': '120-150', 'total-interactions-limit': '280-300', 'total-comments-limit': '3-5', 'total-pm-limit': '3-5', 'total-scraped-limit': '100-150', 'end-if-likes-limit-reached': True, 'end-if-follows-limit-reached': False, 'end-if-watches-limit-reached': False, 'end-if-comments-limit-reached': False, 'end-if-pm-limit-reached': False, 'working-hours': ['10.15-16.40', '18.15-22.46'], 'time-delta': '10-15', 'repeat': '280-320', 'total-sessions': 1} (config.py:160)
[01/09 20:11:14]    DEBUG | Connected devices via adb: 2. That's ok. (utils.py:169)
[01/09 20:11:16]     INFO | Time delta has set to 00:10:19. (utils.py:687)
[01/09 20:11:24]    DEBUG | Phone Name: Redmi Note 10 Pro, SDK Version: 28 (device_facade.py:29)
[01/09 20:11:24]    DEBUG | Screen dimension: 1080x1920 (device_facade.py:34)
[01/09 20:11:24]    DEBUG | Screen resolution: 480x853 (device_facade.py:37)
[01/09 20:11:24]    DEBUG | Device ID: localhost:21503 (device_facade.py:40)
[01/09 20:11:24]     INFO | Screen timeout is fine! (utils.py:224)
[01/09 20:11:24]     INFO | -------- START: 20:11:24 - 2024/01/09 -------- (bot_flow.py:129)
[01/09 20:11:24]     INFO | Device screen ON and unlocked. (bot_flow.py:146)
[01/09 20:11:24]     INFO | Open Instagram app. (utils.py:233)
[01/09 20:11:25]    DEBUG | Instagram called successfully. (utils.py:246)
[01/09 20:11:25]     INFO | Ready for botting!🤫 (utils.py:264)
[01/09 20:11:25]    DEBUG | 2.11s sleep (utils.py:436)
[01/09 20:11:27]    DEBUG | Setting FastInputIME as default keyboard. (utils.py:271)
[01/09 20:11:27]     INFO | FastInputIME is the default keyboard. (utils.py:290)
[01/09 20:11:27]     INFO | Instagram version: 312.1.0.34.111 (bot_flow.py:150)
[01/09 20:11:27]  WARNING | You have a newer version of IG then the one tested! (Tested version: 226.1.0.16.117). (bot_flow.py:154)
[01/09 20:11:27]  WARNING | Using an untested version of IG would cause unexpected behavior because some elements in the user interface may have been changed. Any crashes that occur with an untested version are not taken into account. (bot_flow.py:158)
[01/09 20:11:27]  WARNING | If you press ENTER, you are aware of this and will not ask for support in case of a crash. (bot_flow.py:162)
[01/09 21:00:28]    DEBUG | Initial log file: logs/dr_dobrev.log (log.py:100)
[01/09 21:00:28]    DEBUG | Installed via pip. (utils.py:141)
[01/09 21:00:28]     INFO | Do you want to update/create your config-examples folder in local? Do the following: 
				pip3 install --user gitdir (only the first time)
				python3 -m gitdir https://github.com/GramAddict/bot/tree/master/config-examples (python on Windows) (utils.py:142)
[01/09 21:00:31]     INFO | Checking for updates... (utils.py:64)
[01/09 21:00:32]     INFO | Bot is updated. (utils.py:78)
[01/09 21:00:32]     INFO | GramAddict v.3.2.7 (utils.py:81)
[01/09 21:00:32]     INFO | Loading plugins . . . (plugin_loader.py:30)
[01/09 21:00:32]     INFO |   - ActionUnfollowFollowers: Handles the functionality of unfollowing your followers (plugin_loader.py:45)
[01/09 21:00:32]     INFO |   - ClonedApp: Adds support for cloned apps (plugin_loader.py:45)
[01/09 21:00:32]     INFO |   - CoreArguments: Simply adds core arguments (plugin_loader.py:45)
[01/09 21:00:32]     INFO |   - DataAnalytics: Generates a PDF analytics report of current username session data (plugin_loader.py:45)
[01/09 21:00:32]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger (plugin_loader.py:45)
[01/09 21:00:32]     INFO |   - InteractBloggerFollowers_Following: Handles the functionality of interacting with a bloggers followers/following (plugin_loader.py:45)
[01/09 21:00:32]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger post likers (plugin_loader.py:45)
[01/09 21:00:32]     INFO |   - InteractOwnFeed: Handles the functionality of interacting with your own feed (plugin_loader.py:45)
[01/09 21:00:32]     INFO |   - InteractHashtagLikers: Handles the functionality of interacting with a hashtags likers (plugin_loader.py:45)
[01/09 21:00:32]     INFO |   - InteractHashtagPosts: Handles the functionality of interacting with a hashtags post owners (plugin_loader.py:45)
[01/09 21:00:32]     INFO |   - InteractPlaceLikers: Handles the functionality of interacting with a places likers (plugin_loader.py:45)
[01/09 21:00:32]     INFO |   - InteractPlacePosts: Handles the functionality of interacting with a places post owners (plugin_loader.py:45)
[01/09 21:00:32]     INFO |   - LikeFromURLs: Likes a post from url. The urls are read from a plaintext file (plugin_loader.py:45)
[01/09 21:00:32]     INFO |   - RemoveFollowersFromList: Remove account followers from a list of usernames (plugin_loader.py:45)
[01/09 21:00:32]  WARNING | If you want to use telegram_reports, please type in console: 'pip3 install gramaddict[telegram-reports]' (telegram.py:18)
[01/09 21:00:32]     INFO |   - TelegramReports: Generate reports at the end of the session and send them using telegram (plugin_loader.py:45)
[01/09 21:00:32]    DEBUG | Arguments used: --config accounts/yourusername/config.yml (config.py:158)
[01/09 21:00:32]    DEBUG | Config used: {'username': 'dr_dobrev', 'device': 'localhost:21503', 'app-id': 'com.instagram.android', 'use-cloned-app': False, 'allow-untested-ig-version': False, 'screen-sleep': True, 'screen-record': False, 'speed-multiplier': 1, 'debug': False, 'close-apps': False, 'disable-block-detection': False, 'disable-filters': False, 'dont-type': False, 'total-crashes-limit': 5, 'count-app-crashes': False, 'shuffle-jobs': True, 'truncate-sources': '2-5', 'blogger-followers': ['username1', 'username2'], 'blogger-following': ['username1', 'username2'], 'blogger-post-likers': ['username1', 'username2'], 'blogger': ['username1', 'username2'], 'hashtag-likers-top': ['hashtag1', 'hashtag2'], 'hashtag-likers-recent': ['hashtag1', 'hashtag2'], 'hashtag-posts-top': ['hashtag1', 'hashtag2'], 'hashtag-posts-recent': ['hashtag1', 'hashtag2'], 'place-posts-top': ['place1', 'place2'], 'place-posts-recent': ['place1', 'place2'], 'place-likers-top': ['place1', 'place2'], 'place-likers-recent': ['place1', 'place2'], 'interact-from-file': ['usernames1.txt 10-15', 'usernames2.txt 3'], 'posts-from-file': 'posts.txt', 'feed': '2-5', 'watch-video-time': '15-35', 'watch-photo-time': '3-4', 'delete-interacted-users': True, 'unfollow': '10-20', 'unfollow-any': '10-20', 'unfollow-non-followers': '10-20', 'unfollow-any-non-followers': '10-20', 'unfollow-any-followers': '10-20', 'unfollow-from-file': ['usernames1.txt 7-15', 'usernames2.txt 6'], 'sort-followers-newest-to-oldest': False, 'unfollow-delay': 15, 'remove-followers-from-file': ['remove1.txt 5-10', 'remove2.txt 6'], 'delete-removed-followers': True, 'telegram-reports': False, 'interactions-count': '30-40', 'likes-count': '1-2', 'likes-percentage': 100, 'stories-count': '1-2', 'stories-percentage': '30-40', 'carousel-count': '2-3', 'carousel-percentage': '60-70', 'max-comments-pro-user': '1-2', 'interact-percentage': '30-40', 'follow-percentage': '30-40', 'follow-limit': 50, 'skipped-list-limit': '10-15', 'skipped-posts-limit': 5, 'fling-when-skipped': 0, 'min-following': 100, 'total-likes-limit': '120-150', 'total-follows-limit': '40-50', 'total-unfollows-limit': '40-50', 'total-watches-limit': '120-150', 'total-successful-interactions-limit': '120-150', 'total-interactions-limit': '280-300', 'total-comments-limit': '3-5', 'total-pm-limit': '3-5', 'total-scraped-limit': '100-150', 'end-if-likes-limit-reached': True, 'end-if-follows-limit-reached': False, 'end-if-watches-limit-reached': False, 'end-if-comments-limit-reached': False, 'end-if-pm-limit-reached': False, 'working-hours': ['10.15-16.40', '18.15-22.46'], 'time-delta': '10-15', 'repeat': '280-320', 'total-sessions': 1} (config.py:160)
[01/09 21:00:32]    DEBUG | Connected devices via adb: 2. That's ok. (utils.py:169)
[01/09 21:00:34]     INFO | Time delta has set to -00:14:40. (utils.py:687)
[01/09 21:00:34]    DEBUG | Phone Name: Redmi Note 10 Pro, SDK Version: 28 (device_facade.py:29)
[01/09 21:00:34]    DEBUG | Screen dimension: 1080x1920 (device_facade.py:34)
[01/09 21:00:34]    DEBUG | Screen resolution: 480x853 (device_facade.py:37)
[01/09 21:00:34]    DEBUG | Device ID: localhost:21503 (device_facade.py:40)
[01/09 21:00:35]     INFO | Screen timeout is fine! (utils.py:224)
[01/09 21:00:35]     INFO | -------- START: 21:00:34 - 2024/01/09 -------- (bot_flow.py:129)
[01/09 21:00:35]     INFO | Device screen ON and unlocked. (bot_flow.py:146)
[01/09 21:00:35]     INFO | Open Instagram app. (utils.py:233)
[01/09 21:00:36]    DEBUG | Instagram called successfully. (utils.py:246)
[01/09 21:00:37]     INFO | Ready for botting!🤫 (utils.py:264)
[01/09 21:00:37]    DEBUG | 2.23s sleep (utils.py:436)
[01/09 21:00:39]    DEBUG | Setting FastInputIME as default keyboard. (utils.py:271)
[01/09 21:00:40]     INFO | FastInputIME is the default keyboard. (utils.py:290)
[01/09 21:00:40]     INFO | Instagram version: 226.1.0.16.117 (bot_flow.py:150)
[01/09 21:00:42]    DEBUG | Navigate to PROFILE. (navigation.py:24)
[01/09 21:00:45]    DEBUG | Single click in (993,1850). Surface: (938-1006,1837-1905) (device_facade.py:471)
[01/09 21:00:45]    DEBUG | 1.04s sleep (utils.py:436)
[01/09 21:00:47]    DEBUG | Checking if app is in English.. (navigation.py:29)
[01/09 21:00:48]    DEBUG | Instagram in English. (navigation.py:36)
[01/09 21:00:48]     INFO | You are already logged as dr_dobrev! (views.py:1054)
[01/09 21:00:48]     INFO | Refresh account... (views.py:1098)
[01/09 21:00:49]    DEBUG | Swipe from: (498,410) to (614,690). (device_facade.py:303)
[01/09 21:00:50]    DEBUG | 0.3s sleep (utils.py:436)
[01/09 21:00:50]    DEBUG | 0.66s sleep (utils.py:436)
[01/09 21:00:52]     INFO | Hello, @dr_dobrev! You have 176 followers and 356 followings so far. (bot_flow.py:222)
[01/09 21:00:52]     INFO | You have 1 session(s) left. You can stop the bot by pressing CTRL+C in console. (bot_flow.py:224)
[01/09 21:00:55]     INFO | There is/are 16 active-job(s) and 6 unfollow-job(s) scheduled for this session. (bot_flow.py:244)
[01/09 21:00:55]  WARNING | The filters file doesn't exists in your account folder. Download it from https://github.com/GramAddict/bot/blob/08e1d7aff39ec47543fa78aadd7a2f034b9ae34d/config-examples/filters.yml and place it in your account folder! (filter.py:172)
[01/09 21:00:55]     INFO | ---------------------------------------------------------------------- (utils.py:328)
[01/09 21:00:55]     INFO | Session ending conditions:          Value (utils.py:332)
[01/09 21:00:55]     INFO | ---------------------------------------------------------------------- (utils.py:336)
[01/09 21:00:55]     INFO | Likes:                              True (utils.py:340)
[01/09 21:00:55]     INFO | Follows:                            False (utils.py:344)
[01/09 21:00:55]     INFO | Watches:                            False (utils.py:348)
[01/09 21:00:55]     INFO | Comments:                           False (utils.py:352)
[01/09 21:00:55]     INFO | PM:                                 False (utils.py:356)
