[03/26 01:54:19]    DEBUG | Initial log file: logs/animexmanga.bg.log (log.py:100)
[03/26 01:54:22]    DEBUG | Arguments used: --config accounts/animexmanga/unfollow.yml (config.py:160)
[03/26 01:54:22]    DEBUG | Config used: {'username': 'animexmanga.bg', 'device': 'localhost:21513', 'app-id': 'com.instagram.android', 'use-cloned-app': False, 'allow-untested-ig-version': True, 'screen-sleep': False, 'screen-record': False, 'speed-multiplier': 1.15, 'debug': False, 'close-apps': True, 'disable-block-detection': False, 'disable-filters': False, 'dont-type': False, 'total-crashes-limit': 5, 'count-app-crashes': True, 'shuffle-jobs': True, 'blogger-followers': ['sasha_draws.bg', 'bg.maidcafe', 'zamah.se4', 'clubhazebg', 'krisi._shop._', 'net_animebazaar', 'animes.bg', 'hobbygamesbulgaria_', 'level.up.sofia', 'getoutofficial', 'vsdancestudios', 'inovi_comics', 'esn.unwe', 'esnsofia', 'esnuaceg', 'esnsofiauni', 'esn_nbu', 'esnvarna', 'esn_bulgaria', 'esn_plovdiv', 'esn_svishtov'], 'blogger-following': ['sasha_draws.bg', 'bg.maidcafe', 'zamah.se4', 'clubhazebg', 'krisi._shop._', 'net_animebazaar', 'animes.bg', 'hobbygamesbulgaria_', 'level.up.sofia', 'getoutofficial', 'vsdancestudios', 'inovi_comics', 'esn.unwe', 'esnsofia', 'esnuaceg', 'esnsofiauni', 'esn_nbu', 'esnvarna', 'esn_bulgaria', 'esn_plovdiv', 'esn_svishtov'], 'blogger-post-likers': ['sasha_draws.bg', 'bg.maidcafe', 'zamah.se4', 'clubhazebg', 'krisi._shop._', 'net_animebazaar', 'animes.bg', 'hobbygamesbulgaria_', 'level.up.sofia', 'getoutofficial', 'vsdancestudios', 'inovi_comics', 'esn.unwe', 'esnsofia', 'esnuaceg', 'esnsofiauni', 'esn_nbu', 'esnvarna', 'esn_bulgaria', 'esn_plovdiv', 'esn_svishtov'], 'feed': '50-70', 'watch-video-time': '10-25', 'watch-photo-time': '2-5', 'can-reinteract-after': '5-7', 'unfollow-non-followers': '5-10', 'unfollow-any-non-followers': '10-25', 'unfollow-delay': '3-5', 'analytics': False, 'telegram-reports': True, 'interactions-count': '60-90', 'likes-count': '2-3', 'likes-percentage': 70, 'stories-count': 1, 'stories-percentage': 90, 'carousel-count': '2-5', 'carousel-percentage': 70, 'max-comments-pro-user': 0, 'comment-percentage': 0, 'pm-percentage': 0, 'interact-percentage': 80, 'follow-percentage': 80, 'follow-limit': 1, 'skipped-list-limit': '15-20', 'skipped-posts-limit': '10-12', 'total-likes-limit': '120-150', 'total-follows-limit': '10-20', 'total-unfollows-limit': '30-40', 'total-watches-limit': '150-200', 'end-if-likes-limit-reached': False, 'end-if-follows-limit-reached': False, 'end-if-watches-limit-reached': False, 'working-hours': ['8.15-14.40', '18.00-23.46'], 'time-delta': 40, 'repeat': 180} (config.py:162)
[03/26 01:54:23]    DEBUG | Connected devices via adb: 4. That's ok. (utils.py:169)
[03/26 01:54:28]     INFO | Time delta has set to 00:40:36. (utils.py:719)
[03/26 01:54:28]     INFO | Next session will start at: 08:55:36 (2024/03/26). (utils.py:729)
[03/26 01:54:28]     INFO | Time left: 07:01:07. (utils.py:733)
[03/26 01:54:51]     INFO | Close Instagram app. (utils.py:312)
[03/26 01:54:52]    DEBUG | 5.0s sleep (utils.py:467)
[03/26 01:54:56]    DEBUG | Initial log file: logs/animexmanga.bg.log (log.py:100)
[03/26 01:54:56]    DEBUG | Installed via pip. (utils.py:141)
[03/26 01:54:56]     INFO | Do you want to update/create your config-examples folder in local? Do the following: 
				pip3 install --user gitdir (only the first time)
				python3 -m gitdir https://github.com/GramAddict/bot/tree/master/config-examples (python on Windows) (utils.py:142)
[03/26 01:54:59]     INFO | Checking for updates... (utils.py:64)
[03/26 01:54:59]     INFO | Bot is updated. (utils.py:78)
[03/26 01:54:59]     INFO | GramAddict v.3.2.12 (utils.py:81)
[03/26 01:54:59]     INFO | Loading plugins . . . (plugin_loader.py:30)
[03/26 01:54:59]     INFO |   - ActionUnfollowFollowers: Handles the functionality of unfollowing your followers (plugin_loader.py:45)
[03/26 01:54:59]     INFO |   - ClonedApp: Adds support for cloned apps (plugin_loader.py:45)
[03/26 01:54:59]     INFO |   - CoreArguments: Simply adds core arguments (plugin_loader.py:45)
[03/26 01:54:59]     INFO |   - DataAnalytics: Generates a PDF analytics report of current username session data (plugin_loader.py:45)
[03/26 01:54:59]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger (plugin_loader.py:45)
[03/26 01:54:59]     INFO |   - InteractBloggerFollowers_Following: Handles the functionality of interacting with a bloggers followers/following (plugin_loader.py:45)
[03/26 01:54:59]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger post likers (plugin_loader.py:45)
[03/26 01:54:59]     INFO |   - InteractOwnFeed: Handles the functionality of interacting with your own feed (plugin_loader.py:45)
[03/26 01:54:59]     INFO |   - InteractHashtagLikers: Handles the functionality of interacting with a hashtags likers (plugin_loader.py:45)
[03/26 01:54:59]     INFO |   - InteractHashtagPosts: Handles the functionality of interacting with a hashtags post owners (plugin_loader.py:45)
[03/26 01:54:59]     INFO |   - InteractPlaceLikers: Handles the functionality of interacting with a places likers (plugin_loader.py:45)
[03/26 01:54:59]     INFO |   - InteractPlacePosts: Handles the functionality of interacting with a places post owners (plugin_loader.py:45)
[03/26 01:54:59]     INFO |   - LikeFromURLs: Likes a post from url. The urls are read from a plaintext file (plugin_loader.py:45)
[03/26 01:54:59]     INFO |   - RemoveFollowersFromList: Remove account followers from a list of usernames (plugin_loader.py:45)
[03/26 01:54:59]     INFO |   - TelegramReports: Generate reports at the end of the session and send them using telegram (plugin_loader.py:45)
[03/26 01:54:59]    DEBUG | Arguments used: --config accounts/animexmanga/unfollow.yml (config.py:160)
[03/26 01:54:59]    DEBUG | Config used: {'username': 'animexmanga.bg', 'device': 'localhost:21513', 'app-id': 'com.instagram.android', 'use-cloned-app': False, 'allow-untested-ig-version': True, 'screen-sleep': False, 'screen-record': False, 'speed-multiplier': 1.15, 'debug': False, 'close-apps': True, 'disable-block-detection': False, 'disable-filters': False, 'dont-type': False, 'total-crashes-limit': 5, 'count-app-crashes': True, 'shuffle-jobs': True, 'blogger-followers': ['sasha_draws.bg', 'bg.maidcafe', 'zamah.se4', 'clubhazebg', 'krisi._shop._', 'net_animebazaar', 'animes.bg', 'hobbygamesbulgaria_', 'level.up.sofia', 'getoutofficial', 'vsdancestudios', 'inovi_comics', 'esn.unwe', 'esnsofia', 'esnuaceg', 'esnsofiauni', 'esn_nbu', 'esnvarna', 'esn_bulgaria', 'esn_plovdiv', 'esn_svishtov'], 'blogger-following': ['sasha_draws.bg', 'bg.maidcafe', 'zamah.se4', 'clubhazebg', 'krisi._shop._', 'net_animebazaar', 'animes.bg', 'hobbygamesbulgaria_', 'level.up.sofia', 'getoutofficial', 'vsdancestudios', 'inovi_comics', 'esn.unwe', 'esnsofia', 'esnuaceg', 'esnsofiauni', 'esn_nbu', 'esnvarna', 'esn_bulgaria', 'esn_plovdiv', 'esn_svishtov'], 'blogger-post-likers': ['sasha_draws.bg', 'bg.maidcafe', 'zamah.se4', 'clubhazebg', 'krisi._shop._', 'net_animebazaar', 'animes.bg', 'hobbygamesbulgaria_', 'level.up.sofia', 'getoutofficial', 'vsdancestudios', 'inovi_comics', 'esn.unwe', 'esnsofia', 'esnuaceg', 'esnsofiauni', 'esn_nbu', 'esnvarna', 'esn_bulgaria', 'esn_plovdiv', 'esn_svishtov'], 'feed': '50-70', 'watch-video-time': '10-25', 'watch-photo-time': '2-5', 'can-reinteract-after': '5-7', 'unfollow-non-followers': '5-10', 'unfollow-any-non-followers': '10-25', 'unfollow-delay': '3-5', 'analytics': False, 'telegram-reports': True, 'interactions-count': '60-90', 'likes-count': '2-3', 'likes-percentage': 70, 'stories-count': 1, 'stories-percentage': 90, 'carousel-count': '2-5', 'carousel-percentage': 70, 'max-comments-pro-user': 0, 'comment-percentage': 0, 'pm-percentage': 0, 'interact-percentage': 80, 'follow-percentage': 80, 'follow-limit': 1, 'skipped-list-limit': '15-20', 'skipped-posts-limit': '10-12', 'total-likes-limit': '120-150', 'total-follows-limit': '10-20', 'total-unfollows-limit': '30-40', 'total-watches-limit': '150-200', 'end-if-likes-limit-reached': False, 'end-if-follows-limit-reached': False, 'end-if-watches-limit-reached': False, 'time-delta': 40, 'repeat': 180} (config.py:162)
[03/26 01:54:59]    DEBUG | Connected devices via adb: 4. That's ok. (utils.py:169)
[03/26 01:55:01]     INFO | Time delta has set to 00:40:56. (utils.py:719)
[03/26 01:55:01]    DEBUG | Whole day mode. (session_state.py:266)
[03/26 01:55:11]    DEBUG | Phone Name: ASUS_I005DA, SDK Version: 28 (device_facade.py:29)
[03/26 01:55:11]    DEBUG | Screen dimension: 720x1280 (device_facade.py:34)
[03/26 01:55:11]    DEBUG | Screen resolution: 480x853 (device_facade.py:37)
[03/26 01:55:11]    DEBUG | Device ID: localhost:21513 (device_facade.py:40)
[03/26 01:55:12]     INFO | Screen timeout is fine! (utils.py:230)
[03/26 01:55:12]     INFO | -------- START: 01:55:11 - 2024/03/26 -------- (bot_flow.py:132)
[03/26 01:55:12]     INFO | Device screen ON and unlocked. (bot_flow.py:149)
[03/26 01:55:12]     INFO | Open Instagram app. (utils.py:239)
[03/26 01:55:13]    DEBUG | Instagram called successfully. (utils.py:252)
[03/26 01:55:18]     INFO | Ready for botting!🤫 (utils.py:270)
[03/26 01:55:18]    DEBUG | 1.59s sleep (utils.py:467)
[03/26 01:55:20]     INFO | Close all the other apps, to avoid interferences... (utils.py:274)
[03/26 01:55:22]    DEBUG | 1.70s sleep (utils.py:467)
[03/26 01:55:23]    DEBUG | Setting FastInputIME as default keyboard. (utils.py:277)
[03/26 01:55:24]     INFO | FastInputIME is the default keyboard. (utils.py:300)
[03/26 01:55:25]     INFO | Instagram version: 323.0.0.35.65 (bot_flow.py:153)
[03/26 01:55:25]  WARNING | You have a newer version of IG then the one tested! (Tested version: 300.0.0.29.110). (bot_flow.py:157)
[03/26 01:55:25]  WARNING | Using an untested version of IG would cause unexpected behavior because some elements in the user interface may have been changed. Any crashes that occur with an untested version are not taken into account. (bot_flow.py:161)
[03/26 01:55:34]    DEBUG | Navigating to main account... (views.py:1088)
[03/26 01:56:13]    ERROR | Exception: App has crashed / has been closed! (bot_flow.py:202)
